prompt,adults_only
Things that you shouldn't do naked.,TRUE
Something that {name} doesn't want you to know about them.,
Things you shouldn't throw off a building.,
Things grown-ups wish they could still do.,
Things you shouldn't play catch with.,
Things that go bad.,
Things that you shouldn't swallow.,
Things that you wouldn't do for a million dollars.,
Things you don't want to find in your bed.,
Things cannibals think about while dinning.,TRUE
Things dogs are actually saying when they bark.,
Things not to do in a hospital,
Things not to do while driving!,
Things not to tell your mother,
Things paramedics shouldn't say to a patient on the way to the hospital,
Things people do when no one is looking.,
Things that are good!,
Things that are your favorite foods.,
Things that confirm your life is going downhill.,
Things that confirm your house is haunted.,
Things that happen in Vegas that should stay in Vegas.,TRUE
Things that jiggle.,
Things that make sex fun.,TRUE
Things that make you feel stupid.,
Things that make you uncomfortable.,TRUE
Things that shouldn't be passed from one generation to the next. ,TRUE
Things that you shouldn't do in public.,
Things that your parents would kill you for.,
Things that keep you out of heaven.,
Things to wear to your enemies funeral.,
Things you wear to your ex's wedding.,
Things you do to get a job.,TRUE
Things you do to relieve stress.,
Things you name a home brewed beer.,TRUE
Things you return from your Christmas gifts.,
Things you shop for on black friday.,
Things you shouldn't do while you're babysitting.,
Things you shouldn't do on your birthday.,
Things you shouldn't do with glue.,
Things you shouldn't lick.,
Things you shouldn't say to your in-laws.,
Things you shouldn't say when you're trying to make a good impression.,
Things you shouldn't send your friends in a pic.,TRUE
Things you shouldn't tie to the roof of your car.,
Things you shouldn't carve into a pumpkin.,
Things you wish for.,
Things you wish were included in a divorce settlement.,TRUE
Thngs you would ask a psychic. ,
Things you would buy if you were rich.,
Things you would do if you were a giant.,
Things you would rather forget.,
Things {name} would wish for if they were stranded on an island.,
Things you wouldn't do for a million dollars.,
Things you wouldn't want made into a movie.,
Things your parents forget to tell you.,
Things your friends text you.,
Things you'll so when you retire.,
Things that would get a doctor fired for malpractice.,TRUE
Things you shouldn't do in front of a crowd.,
Things that give you a headache.,
Things you wouldn't want to clean.,
Things children shouldn't know.,TRUE
Things gentleman shouldn't do.,TRUE
Things women know more about than men.,TRUE
Things you shouldn't give as a gift.,
Things you shouldn't do at the dinner table.,
Things you would consider strange to include on a resume.,TRUE
Things there should be an award for.,
Things you shouldn't do when having dinner with the Queen.,
Things that make you giggle.,
Things you shouldn't teach your pet to do.,
Things you shouldn't photogrpah.,
Things you shouldn't do in the office.,TRUE
Things that would make ballet more exciting.,
Things men know more about than women.,
Things you would say to a pig if it could talk.,
Things you can do to get rid of unwanted guests.,
Things you notice about yourself as you get older.,
Things you would line up to see.,
Things a chicken thinks about when a farmer picks up the eggs.,
Things you wish you could borrow from the library.,
Things you shouldn't do while writing a final exam.,
Things you shouldn't teach your parrot to say.,
Things that shouldn't go into a time capsule.,
Things that hurt your back.,TRUE
Things you just can't believe.,
Things that are politically incorrect.,TRUE
Things that happen once in a blue moon.,
Things about women that frustrate you.,TRUE
Things that are harder than they look.,
Things that kids know more about than adults.,
Things that cause trouble.,
Things that you wouldn't want to be allergic to.,
Things that make you relax.,
Things you shouldn't shout at the top of your lungs.,
THings you need to survive.,
Things you shouldn't do in a car.,
Things you would like to play with.,
Things you can't stop.,
Things you shouldn't do on vacation.,
Things you would wish for it you found a genie in a bottle.,
Things that seem to take an eternity.,
Things that confirm you are losing your memory.,
Things you shouldn't display in your china cabinet.,
Things you would like as your last words.,TRUE
Things firemen do between fires.,
Things that shouldn't be lumpy.,
Things you shouldn't put off until tomorrow.,
Things fish think about as they swim in their aquarium.,
Things you could use as an excuse on judgement day.,TRUE
Things that would make golf more exciting.,
Things you shouldn't advertise in the classified ads.,
